Date,Principal,Total_Deposits,Rate,Daily_Interest,Cumulative_Interest,Additional_Deposit,Is_Quarter_End,Total_Value,Calculation_Notes
2022-07-22,500.0,500,0.0925,0.1267123287671233,0.1267123287671233,0,False,500.1267123287671,Daily interest on R500.00 @ 9.25% p.a.
2022-07-23,500.0,500,0.0925,0.1267123287671233,0.2534246575342466,0,False,500.25342465753425,Daily interest on R500.00 @ 9.25% p.a.
2022-07-24,500.0,500,0.0925,0.1267123287671233,0.3801369863013699,0,False,500.38013698630135,Daily interest on R500.00 @ 9.25% p.a.
2022-07-25,500.0,500,0.0925,0.1267123287671233,0.5068493150684932,0,False,500.5068493150685,Daily interest on R500.00 @ 9.25% p.a.
2022-07-26,500.0,500,0.0925,0.1267123287671233,0.6335616438356164,0,False,500.6335616438356,Daily interest on R500.00 @ 9.25% p.a.
2022-07-27,700.0,700,0.0925,0.17739726027397262,0.810958904109589,200,False,700.8109589041096,Daily interest on R700.00 @ 9.25% p.a.
2022-07-28,700.0,700,0.0925,0.17739726027397262,0.9883561643835617,0,False,700.9883561643836,Daily interest on R700.00 @ 9.25% p.a.
2022-07-29,700.0,700,0.0925,0.17739726027397262,1.1657534246575343,0,False,701.1657534246575,Daily interest on R700.00 @ 9.25% p.a.
2022-07-30,700.0,700,0.0925,0.17739726027397262,1.343150684931507,0,False,701.3431506849315,Daily interest on R700.00 @ 9.25% p.a.
2022-07-31,700.0,700,0.0925,0.17739726027397262,1.5205479452054795,0,False,701.5205479452055,Daily interest on R700.00 @ 9.25% p.a.
2022-08-01,700.0,700,0.0925,0.17739726027397262,1.6979452054794522,0,False,701.6979452054794,Daily interest on R700.00 @ 9.25% p.a.
2022-08-02,700.0,700,0.0925,0.17739726027397262,1.8753424657534248,0,False,701.8753424657534,Daily interest on R700.00 @ 9.25% p.a.
2022-08-03,700.0,700,0.0925,0.17739726027397262,2.052739726027397,0,False,702.0527397260274,Daily interest on R700.00 @ 9.25% p.a.
2022-08-04,5750.0,5750,0.0925,1.457191780821918,3.5099315068493153,5050,False,5753.509931506849,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-05,5750.0,5750,0.0925,1.457191780821918,4.9671232876712335,0,False,5754.967123287671,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-06,5750.0,5750,0.0925,1.457191780821918,6.424315068493152,0,False,5756.424315068493,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-07,5750.0,5750,0.0925,1.457191780821918,7.88150684931507,0,False,5757.881506849315,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-08,5750.0,5750,0.0925,1.457191780821918,9.338698630136987,0,False,5759.338698630137,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-09,5750.0,5750,0.0925,1.457191780821918,10.795890410958904,0,False,5760.795890410959,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-10,5750.0,5750,0.0925,1.457191780821918,12.253082191780821,0,False,5762.253082191781,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-11,5750.0,5750,0.0925,1.457191780821918,13.710273972602739,0,False,5763.710273972602,"Daily interest on R5,750.00 @ 9.25% p.a."
2022-08-12,10950.0,10950,0.0925,2.7750000000000004,16.48527397260274,5200,False,10966.485273972603,"Daily interest on R10,950.00 @ 9.25% p.a."
2022-08-13,10950.0,10950,0.0925,2.7750000000000004,19.26027397260274,0,False,10969.260273972603,"Daily interest on R10,950.00 @ 9.25% p.a."
2022-08-14,10950.0,10950,0.0925,2.7750000000000004,22.035273972602738,0,False,10972.035273972602,"Daily interest on R10,950.00 @ 9.25% p.a."
2022-08-15,10950.0,10950,0.0925,2.7750000000000004,24.810273972602737,0,False,10974.810273972602,"Daily interest on R10,950.00 @ 9.25% p.a."
2022-08-16,10950.0,10950,0.0925,2.7750000000000004,27.585273972602735,0,False,10977.585273972603,"Daily interest on R10,950.00 @ 9.25% p.a."
2022-08-17,13300.0,13300,0.0925,3.37054794520548,30.955821917808215,2350,False,13330.955821917809,"Daily interest on R13,300.00 @ 9.25% p.a."
2022-08-18,13300.0,13300,0.0925,3.37054794520548,34.326369863013696,0,False,13334.326369863014,"Daily interest on R13,300.00 @ 9.25% p.a."
2022-08-19,13300.0,13300,0.0925,3.37054794520548,37.696917808219176,0,False,13337.69691780822,"Daily interest on R13,300.00 @ 9.25% p.a."
2022-08-20,13300.0,13300,0.0925,3.37054794520548,41.067465753424656,0,False,13341.067465753425,"Daily interest on R13,300.00 @ 9.25% p.a."
2022-08-21,13300.0,13300,0.0925,3.37054794520548,44.43801369863014,0,False,13344.438013698631,"Daily interest on R13,300.00 @ 9.25% p.a."
2022-08-22,13300.0,13300,0.0925,3.37054794520548,47.80856164383562,0,False,13347.808561643835,"Daily interest on R13,300.00 @ 9.25% p.a."
2022-08-23,13300.0,13300,0.0925,3.37054794520548,51.1791095890411,0,False,13351.17910958904,"Daily interest on R13,300.00 @ 9.25% p.a."
